Wall time,Step,Value
1657646799.522271,10000,1.0
1657647077.8531363,20000,1.0
1657647355.8700194,30000,1.3333333730697632
1657647630.5780673,40000,3.0
1657647908.4401045,50000,4.0
1657648193.3512034,60000,5.714285850524902
1657648465.5927851,70000,7.599999904632568
1657648729.6742043,80000,7.0
1657648990.2530472,90000,8.333333015441895
1657654847.057523,330000,8.375
1657655085.520999,340000,8.600000381469727
1657655325.2496383,350000,8.333333015441895
1657655562.893886,360000,8.5
1657658511.4918132,480000,11.0
1657659038.0094209,500000,12.0
1657659301.5895758,510000,10.0
1657659561.4839919,520000,11.0
1657659827.757838,530000,14.0
1657660065.4913456,540000,11.0
1657661013.5548553,580000,12.0
1657661249.9456913,590000,13.0
1657661508.006708,600000,12.0
1657661749.9065313,610000,11.571428298950195
1657661991.3058805,620000,15.0
1657662225.82102,630000,15.0
1657662464.668868,640000,14.0
1657663887.1232061,700000,12.0
1657664123.7742567,710000,16.0
1657664600.2733622,730000,14.0
1657664838.2796092,740000,16.5
1657665077.8813698,750000,8.0
1657665310.0080798,760000,16.0
1657666273.9319987,800000,15.666666984558105
1657667457.3486693,850000,10.666666984558105
1657667933.1532347,870000,11.0
1657668169.605786,880000,18.0
1657669122.597718,920000,14.0
1657669359.8691614,930000,14.0
1657669598.3133771,940000,15.0
1657670548.6153357,980000,17.5
1657671024.7739701,1000000,20.5
1657671260.424242,1010000,22.0
1657671738.8113034,1030000,12.0
1657672691.2272549,1070000,16.0
1657672933.0303032,1080000,18.0
1657673168.366826,1090000,8.0
1657673406.4330146,1100000,16.0
1657673887.0660532,1120000,9.0
1657674120.7983634,1130000,15.0
1657674594.8124387,1150000,19.0
1657674830.1580188,1160000,17.0
1657675806.177294,1200000,15.25
1657676281.0785475,1220000,16.0
1657676518.5376983,1230000,17.0
1657676993.2700262,1250000,20.0
1657677232.407885,1260000,21.0
1657677707.2596705,1280000,17.0
1657677942.3654408,1290000,15.0
1657678418.3248546,1310000,19.5
1657678654.165616,1320000,10.0
1657679607.7401102,1360000,23.0
1657679846.0414507,1370000,19.0
1657680558.118977,1400000,11.0
1657681032.5718954,1420000,19.0
1657681271.0909438,1430000,24.0
1657681506.2463267,1440000,21.0
1657681745.1102934,1450000,23.5
1657681982.4133697,1460000,15.0
1657682458.1820722,1480000,20.0
1657682928.3213,1500000,21.5
1657683166.0698774,1510000,21.25
1657683403.5902364,1520000,20.5
1657683642.7101274,1530000,19.0
1657684830.0843356,1580000,22.0
1657685303.5312796,1600000,18.33333396911621
1657685544.0694008,1610000,26.0
1657686018.2078369,1630000,19.0
1657686256.2590005,1640000,21.25
1657686501.5146523,1650000,22.5
1657686763.644267,1660000,19.33333396911621
1657687014.2922971,1670000,23.0
1657687254.0378714,1680000,23.0
1657687725.9157202,1700000,24.0
1657687964.6288068,1710000,25.0
1657688205.2777035,1720000,23.0
1657689151.0598376,1760000,26.0
1657689627.843889,1780000,21.5
1657690107.3122282,1800000,22.0
1657690342.5775661,1810000,22.75
1657690581.7950416,1820000,25.0
1657690819.9956467,1830000,20.0
1657691528.717473,1860000,27.0
1657691766.782332,1870000,22.0
1657692716.293972,1910000,22.0
1657692954.1998413,1920000,12.0
1657693193.051379,1930000,27.0
1657693428.5465527,1940000,25.0
1657693906.5299594,1960000,23.0
1657694145.0057926,1970000,29.0
1657694621.3461401,1990000,26.5
1657694859.628958,2000000,27.0
1657695336.1449971,2020000,23.0
1657695572.7731667,2030000,23.5
1657695811.6612234,2040000,13.0
1657696287.5998206,2060000,26.0
1657696525.071468,2070000,25.5
1657696764.507649,2080000,29.0
1657697238.1589558,2100000,25.0
1657697713.521394,2120000,29.0
1657698666.105227,2160000,32.0
1657698904.9933574,2170000,26.5
1657699148.5632102,2180000,31.0
1657699387.6401663,2190000,26.66666603088379
1657700335.9572568,2230000,24.0
1657700575.9459338,2240000,29.0
1657700812.5505147,2250000,30.0
1657701048.9490907,2260000,20.5
1657701290.8609471,2270000,28.5
1657701529.2783837,2280000,28.0
1657702241.9096816,2310000,28.0
