Wall time,Step,Value
1658440883.2950556,10000,1.0
1658441108.010557,20000,2.2608695030212402
1658441405.7280552,30000,5.360000133514404
1658441630.4845555,40000,5.666666507720947
1658441877.2225564,50000,7.777777671813965
1658442125.7265563,60000,10.0
1658442335.0515566,70000,8.5
1658442549.3245564,80000,9.25
1658442808.4995558,90000,10.666666984558105
1658443042.5340557,100000,12.545454978942871
1658443298.9975562,110000,15.333333015441895
1658443527.2350554,120000,17.25
1658443797.1505592,130000,11.199999809265137
1658444026.505556,140000,18.5
1658444293.0895565,150000,16.58333396911621
1658444520.6130564,160000,18.714284896850586
1658444800.8955574,170000,18.545454025268555
1658445004.7720554,180000,16.272727966308594
1658445235.5820553,190000,21.363636016845703
1658445501.8575556,200000,25.55555534362793
1658445718.6560552,210000,31.66666603088379
1658445946.5205557,220000,26.33333396911621
1658446212.7955554,230000,20.5
1658446444.6300569,240000,24.0
1658446716.033056,250000,24.100000381469727
1658446933.1465561,260000,25.0
1658447157.1650555,270000,26.0
1658447384.0460565,280000,29.0
1658447609.8875566,290000,31.33333396911621
1658447870.0530558,300000,27.5
1658448095.8415568,310000,23.25
1658448321.9580562,320000,27.0
1658448550.3190558,330000,26.75
1658449038.7092435,350000,30.0
1658449265.194243,360000,28.66666603088379
1658449489.3242433,370000,34.0
1658449719.921244,380000,36.0
1658449947.7242448,390000,28.0
1658450205.6762435,400000,37.0
1658450432.7532442,410000,34.5
1658450654.860744,420000,34.25
1658450878.2207434,430000,34.0
1658451101.1377428,440000,33.5
1658451361.159244,450000,35.5
1658451583.8392441,460000,41.0
1658452031.1497455,480000,35.66666793823242
1658452297.1087432,490000,40.0
1658452535.387744,500000,33.0
1658452760.2272427,510000,38.5
1658452989.5067432,520000,38.5
1658453248.5132434,530000,34.0
1658453699.5582435,550000,34.0
1658453923.185244,560000,32.0
1658454146.266744,570000,36.0
1658454365.1122427,580000,31.33333396911621
1658454642.7947452,590000,37.0
1658454850.3707426,600000,47.0
1658455074.5312438,610000,35.5
1658455295.623243,620000,34.0
1658455743.9652438,640000,31.0
1658456228.5382433,660000,40.0
1658456675.9622438,680000,42.0
1658456900.978744,690000,32.5
1658457123.2477436,700000,32.0
1658457346.8817434,710000,36.5
1658457602.0502431,720000,38.0
1658457827.9052432,730000,37.0
1658458055.9252427,740000,38.0
1658458282.5707428,750000,22.0
1658458556.378243,760000,40.33333206176758
1658458764.6167433,770000,50.0
1658458992.668243,780000,31.399999618530273
1658459223.4642432,790000,29.0
1658459494.452243,800000,39.33333206176758
1658459705.3272438,810000,42.5
1658459932.1732426,820000,34.5
1658460156.439243,830000,46.0
1658460435.5232444,840000,33.33333206176758
1658460642.6592436,850000,39.0
1658460871.423243,860000,35.0
1658461102.314743,870000,17.0
1658461328.3647442,880000,38.0
1658461588.6037447,890000,30.5
1658461809.8697436,900000,44.0
1658462036.828744,910000,46.0
1658462489.1577432,930000,55.0
1658462934.0112445,950000,47.5
1658463193.1887436,960000,45.5
1658463412.6327426,970000,44.0
1658463636.4212437,980000,35.5
1658463859.2997427,990000,56.0
1658464300.533743,1010000,42.5
1658464522.6217437,1020000,38.0
1658465247.5072427,1050000,48.0
1658465471.3117442,1060000,40.599998474121094
1658465692.651743,1070000,41.0
1658465955.568243,1080000,44.66666793823242
1658466168.594243,1090000,46.0
1658466394.6457438,1100000,49.0
1658466620.650244,1110000,51.5
1658466843.7582433,1120000,36.66666793823242
1658467065.7687435,1130000,22.0
1658467316.4282436,1140000,35.66666793823242
1658467765.0317433,1160000,51.5
1658467992.9447427,1170000,24.0
1658468217.1827428,1180000,45.0
1658468495.7822442,1190000,41.0
1658468712.4237437,1200000,39.0
1658469631.9922433,1240000,36.0
1658469858.357244,1250000,52.0
1658470354.4947433,1270000,53.0
1658470794.6317437,1290000,56.0
1658471248.2702441,1310000,49.0
1658471907.9652438,1340000,54.0
1658472127.616244,1350000,57.0
1658472344.1507437,1360000,40.0
1658472996.530244,1390000,52.33333206176758
1658473430.811744,1410000,45.0
1658473864.626744,1430000,33.0
1658474129.119243,1440000,46.0
1658474340.1352444,1450000,34.0
1658474759.499744,1470000,59.0
1658474973.0897458,1480000,39.0
1658475190.6327434,1490000,49.0
1658475626.4457426,1510000,36.0
1658476715.169743,1560000,47.0
1658477151.8892436,1580000,47.33333206176758
1658477367.5172427,1590000,44.0
1658477836.7897432,1610000,60.0
1658478046.8327436,1620000,58.0
1658478481.8237436,1640000,45.0
1658478917.4397433,1660000,46.0
1658479139.2597437,1670000,48.0
1658479793.2822425,1700000,38.0
1658480014.9157429,1710000,50.0
1658480448.3022435,1730000,54.599998474121094
1658480708.1172442,1740000,49.0
1658480913.5407443,1750000,57.0
1658481358.0002427,1770000,58.0
1658481582.2122438,1780000,62.5
1658482463.6657426,1820000,50.5
1658482685.8232439,1830000,58.25
1658483126.371744,1850000,59.0
1658484245.3427439,1900000,39.0
1658484678.908744,1920000,60.0
1658485331.970243,1950000,57.0
1658485550.923744,1960000,60.5
1658485987.2047436,1980000,58.5
1658486207.9562435,1990000,69.0
1658486683.4007432,2010000,50.0
1658487338.1692457,2040000,52.0
1658487556.4362438,2050000,60.66666793823242
1658487776.2717452,2060000,54.0
1658488432.8352456,2090000,53.25
1658488874.1397436,2110000,52.0
1658489136.2487438,2120000,55.66666793823242
1658490238.011744,2170000,52.0
1658490463.2122436,2180000,42.0
1658490911.3792439,2200000,73.5
1658491362.1217437,2220000,54.0
1658492304.2387443,2260000,55.0
1658492530.4502444,2270000,60.0
1658492749.0892427,2280000,56.0
1658492977.5897439,2290000,58.0
1658493409.3252437,2310000,75.0
1658493948.3582428,2340000,61.0
1658494341.7152429,2360000,42.5
1658494871.3787436,2390000,61.0
1658495928.4977436,2450000,60.0
1658496326.685244,2470000,65.0
