Wall time,Step,Value
1658403809.1693604,10000,0.0
1658404110.835955,20000,0.0
1658404420.7511704,30000,1.0
1658404721.0765696,40000,1.0
1658405021.195882,50000,1.0
1658405306.6401312,60000,1.0
1658405608.2844214,70000,1.0
1658405902.639535,80000,2.0
1658406182.2133024,90000,2.0
1658406451.0621226,100000,2.0
1658406684.534652,110000,2.0
1658406901.9563923,120000,2.0
1658407140.7681506,130000,3.0
1658407361.8877637,140000,3.0
1658407593.3414197,150000,3.0
1658412273.1886377,160000,3.0
1658412579.8543668,170000,3.0
1658412859.979105,180000,3.0
1658413159.6858253,190000,3.0
1658413439.2239733,200000,3.0
1658413747.924739,210000,3.0
1658414030.3566456,220000,3.0
1658414325.8982766,230000,3.0
1658414601.8118181,240000,3.0
1658414903.2482836,250000,3.0
1658415189.736062,260000,3.0
1658415467.7759123,270000,3.0
1658415764.1397161,280000,3.0
1658416064.0360196,290000,3.0
1658416343.4934168,300000,4.0
1658416640.832322,310000,4.0
1658416913.610025,320000,4.0
1658417193.4647396,330000,4.0
1658425666.9394338,340000,4.0
1658425975.0080109,350000,4.0
1658426250.2612205,360000,4.0
1658426511.9986432,370000,4.0
1658426771.7707307,380000,4.0
1658427035.0485237,390000,4.0
1658427294.4428444,400000,4.0
1658427552.7096937,410000,4.0
1658427826.1940727,420000,4.0
1658428087.3597143,430000,4.0
1658428364.5257218,440000,4.0
1658428619.9547958,450000,4.0
1658428881.445349,460000,4.0
1658429150.8693988,470000,4.0
1658429417.1981606,480000,4.0
1658429687.6150966,490000,4.0
1658429945.845834,500000,4.0
1658430217.7095964,510000,4.0
1658430473.8074193,520000,4.0
1658430741.5591466,530000,4.0
1658431008.4680223,540000,4.0
1658431268.995775,550000,5.0
1658431540.2106943,560000,5.0
1658431806.443858,570000,5.0
1658432066.1717963,580000,5.0
1658432333.280509,590000,5.0
1658432624.6357207,600000,5.0
1658432936.2617915,610000,5.0
1658433252.9485788,620000,5.0
1658433543.9390452,630000,5.0
1658433861.5293953,640000,5.0
1658434135.0931835,650000,5.0
1658434425.277081,660000,5.0
1658434711.5238419,670000,5.0
1658435005.5747027,680000,5.0
1658435293.144494,690000,5.0
1658435576.2082407,700000,5.0
1658435864.6746662,710000,5.0
1658436149.609761,720000,5.0
1658436425.015934,730000,5.0
1658436695.6592934,740000,5.0
1658437122.7341778,750000,5.0
1658437410.16461,760000,5.0
1658437701.0649016,770000,5.0
1658437987.140352,780000,5.0
1658438269.935667,790000,5.0
1658438556.5202012,800000,5.0
